ID,Contacto,Oficina,Correo,Prioridad,Relevancia,Asunto,Petición,Fuente,Restricción
1,Foundational Questions Institute (FQxI),General office,info@fqxi.org,High,Foundational physics; unconventional research,DEE Universe v24 — request for an independent computational evaluation,Ask for the correct program or evaluator; do not request informal validation of a theory,https://fqxi.org/contact/,FQxI states that it does not review unsolicited theories; use for program routing or QSpace after publication.
2,Santa Fe Institute,General inquiries,email@santafe.edu,High,"Complex systems, emergence, information",Reproducible 3D emergent dynamics system — independent evaluation request,Request routing to a researcher in cellular automata or complex systems,https://www.santafe.edu/about/contact/,Public general route.
3,Santa Fe Institute,Media and research news,news@santafe.edu,Medium,Complexity communication and scientific visibility,Research briefing: DEE Universe v24 emergent 3D dynamics,Ask whether the work fits an SFI news/community channel after preprint,https://www.santafe.edu/about/contact/,Media route; not a research review inbox.
4,Santa Fe Institute,Education,education@santafe.edu,Medium,Complex systems education and workshops,Educational/research demonstration of deterministic emergence in 3D,Ask about educational workshop or demonstration opportunities,https://www.santafe.edu/about/contact/,Education route.
5,Santa Fe Institute,Applied Complexity Network,ACtioN@santafe.edu,High,Applied complexity and partnerships,DEE as a deterministic laboratory for digital materials and AI benchmarks,Request a short exploratory call on applications and independent benchmarks,https://www.santafe.edu/about/contact/,Program route.
6,Santa Fe Institute,Support office,support@santafe.edu,Low,Institutional routing,Routing request: DEE Universe v24 technical evaluation,Ask for the appropriate program contact,https://www.santafe.edu/support/presidentscircle/,General support route; use only if other routes fail.
7,Santa Fe Institute,Campus news,campusnews@santafe.edu,Low,Research community news,Possible research-community item: reproducible 3D emergent dynamics,Ask whether an accepted preprint could be considered,https://www.santafe.edu/campuses,Communications route.
8,Santa Fe Institute,Collective Intelligence program,ci@santafe.edu,Medium,Collective intelligence and emergence,Question on cross-domain emergence and distributed information,Ask for routing only if the program scope matches,https://www.santafe.edu/info/collective-intelligence-2023/apply,Program-specific route.
9,Perimeter Institute,General help/event routing,help@perimeterinstitute.ca,Medium,Fundamental theoretical physics,DEE Universe v24 — request for routing to foundations/emergence researchers,Ask for the correct public route for a concise technical brief,https://events.perimeterinstitute.ca/contact,Generic route.
10,Perimeter Institute,Outreach,outreach@perimeterinstitute.ca,Medium,Public engagement in foundational physics,Visual research briefing on geometric-informational physics hypothesis,Ask about public-science presentation channels after peer review,https://resources.perimeterinstitute.ca/pages/about-this-store,Outreach route; verify before sending because the public page may route store/outreach inquiries.
11,Perimeter Institute,Online resources,onlineorders@perimeterinstitute.ca,Low,Routing only,Routing request for public scientific resources,Ask only for correct contact if outreach route fails,https://resources.perimeterinstitute.ca/pages/about-this-store,"Operational route, not scientific review."
12,Yin-Chen He — Perimeter Institute,Faculty/public profile,yhe@perimeterinstitute.ca,Medium,Quantum information and many-body theory,Deterministic 3D dynamics with internal state — technical evaluation request,Ask whether the model raises a technically testable question in information/physics,https://perimeterinstitute.ca/people/yin-chen-he,Public institutional email.
13,William East — Perimeter Institute,Faculty/public profile,weast@perimeterinstitute.ca,Medium,Numerical relativity and computation,Question on effective causal structure in a discrete 3D engine,Request a narrow methodological critique,https://perimeterinstitute.ca/personal/weast/index.html,Public institutional email.
14,Neal Dalal — Perimeter Institute,Faculty/public profile,ndalal@perimeterinstitute.ca,Medium,Cosmology and numerical models,Computational emergence and possible effective-physics tests,"Ask for one or two falsifiable tests, not endorsement",https://perimeterinstitute.ca/people/neal-dalal,Public institutional email.
15,Kavli Institute for Theoretical Physics,Help desk / routing,help@kitp.ucsb.edu,Low,Theoretical physics programs,Routing request for DEE Universe v24 technical brief,Ask for the correct public program route,https://www.kitp.ucsb.edu/about-us/connect,Not a scientific review inbox.
16,Kavli Institute for Theoretical Physics,Friends / development,friends@kitp.ucsb.edu,Low,Donor and community engagement,Independent-validation program for a protected computational physics engine,Ask whether a donor-facing scientific discussion is appropriate,https://www.kitp.ucsb.edu/support-kitp/friends-kitp,Development route.
17,Kavli Institute for Theoretical Physics,Senior Director of Development — Kristi Newton,kristi@kitp.ucsb.edu,Medium,Scientific philanthropy routing,Funding concept: independent validation of a high-risk computational physics program,Ask for routing to appropriate philanthropic partners,https://www.kitp.ucsb.edu/support-kitp,Public professional email.
18,Lars Bildsten — KITP,Director/public institutional,bildsten@kitp.ucsb.edu,Medium,Theoretical physics leadership,Request for a narrow independent evaluation pathway,Ask for advice on appropriate workshop/reviewer community,https://www.kitp.ucsb.edu/about-us/code-of-conduct-and-resources,Public institutional email.
19,Mark Bowick — KITP,Deputy Director/public institutional,bowick@kitp.ucsb.edu,High,"Statistical physics, geometry, complex systems",Emergent geometry in a deterministic 3D digital dynamics engine,Ask for critique of claims and suggested benchmark literature,https://www.kitp.ucsb.edu/about-us/code-of-conduct-and-resources,Public institutional email.
20,Simons Institute for the Theory of Computing,General inquiries,simonsinstitute@berkeley.edu,High,Theory of computing and complexity,DEE Universe v24: candidate primitives for unconventional computation,Ask for routing to a program on computation in physical/dynamical systems,https://simons.berkeley.edu/contact,Public general route.
21,Simons Institute for the Theory of Computing,Institutional partnerships — Amy Ambrose,amyambrose@berkeley.edu,Medium,Institutional partnership,Evaluation partnership for a protected 3D computational dynamics engine,Ask about appropriate partnership mechanism,https://simons.berkeley.edu/support/institutional-partnerships,Public professional email.
22,Complexity Science Hub Vienna,General office,office@csh.ac.at,High,Complex systems and data science,Independent replication of emergent structures in DEE Universe v24,Ask for routing to nonlinear dynamics/emergence researchers,https://csh.ac.at/about-us/contact/,Public general route.
23,Complexity Science Hub Vienna,Events,events@csh.ac.at,Medium,Workshops and talks,Seminar proposal: deterministic 3D emergent dynamics with auditable logs,Ask about talk/workshop fit,https://csh.ac.at/events/complexity-science-hub-policy-workshop/,Events route.
24,Complexity Science Hub Vienna,Graduate/internship office,grad@csh.ac.at,Low,Student research projects,Possible student replication project for DEE datasets,Ask whether a supervised replication project is appropriate,https://csh.ac.at/education/internships/,Program-specific route.
25,Complexity Science Hub Vienna,Office Administration — Julia Emmerling,emmerling@csh.ac.at,Medium,Routing to appropriate research group,Request for routing: DEE Universe v24 evaluation,Ask for the correct researcher or program,https://csh.ac.at/about-us/contact/,Public professional email.
26,Complexity Science Hub Vienna,Head of Communications — Anja Böck,boeck@csh.ac.at,Low,Scientific communications,Public research briefing after independent replication,Ask only after public evidence package exists,https://csh.ac.at/about-us/contact/,Public professional email.
27,"Center for Nonlinear Studies, Los Alamos",Group office,cnlsoffice@lanl.gov,High,"Nonlinear dynamics, HPC, unconventional computing",DEE Universe v24 — request for an external nonlinear-dynamics evaluation,Ask for routing to a seminar or collaborator,https://cnls.lanl.gov/external/directions.php,Public office email.
28,Misha Chertkov — CNLS affiliate,Public institutional,chertkov@lanl.gov,Medium,Complex systems and computation,Deterministic emergent dynamics: request for benchmark advice,Ask for narrow critique or literature pointers,https://cnls.lanl.gov/external/Affiliates.php,Public institutional email.
29,Eli Ben-Naim — CNLS affiliate,Public institutional,ebn@lanl.gov,High,Statistical physics and nonlinear dynamics,Taxonomy and reactions in a deterministic 3D cellular system,Ask whether the observed dynamics merit a formal statistical-physics study,https://cnls.lanl.gov/external/Affiliates.php,Public institutional email.
30,Max Planck Institute for Dynamics and Self-Organization,Press and public relations,presse@ds.mpg.de,Medium,Dynamics and self-organization,Research briefing: reproducible 3D self-organization in DEE v24,"Ask for routing to a research contact or seminar, not media coverage",https://www.ds.mpg.de/2340/contact,Public official email.
31,MIT Center for Bits and Atoms,General information,cba_info@cba.mit.edu,High,"Digital fabrication, computation and physical systems",DEE: geometric computation and digital-material primitives,Request an exploratory technical conversation,https://cba.mit.edu/,Public CBA route; confirm before sending.
32,MIT CSAIL Alliances,Industry alliances,alliances@csail.mit.edu,High,Computer science and industry collaboration,Pilot proposal: DEE as a 3D world-model and discovery benchmark,Ask for the appropriate alliance/research route,https://cap.csail.mit.edu/contact-us,Public alliances email.
33,University of Michigan Center for the Study of Complex Systems,General office,cscs@umich.edu,High,Complex systems,Reproducible emergent structures and reactions in a 3D deterministic system,Ask for independent replication or seminar routing,https://lsa.umich.edu/cscs,Public institutional email; verify before final send.
34,Peter Dodds — University of Vermont,Public institutional,peter.dodds@uvm.edu,Medium,Complex systems and data science,DEE telemetry as a complex-systems dataset and benchmark,Ask for feedback on metrics and taxonomy,https://www.uvm.edu/cems/cs/profiles/peter-dodds,Public institutional email.
35,Alexa Woodward — University of Vermont,Public institutional,alexa.woodward@uvm.edu,Low,Complex systems outreach/research,Routing request for complex-systems evaluation,Ask for the correct program or colleague,https://www.uvm.edu/complexsystems/profiles/alexa-woodward,Public institutional email.
36,Waterloo Institute for Complexity and Innovation,General office,wici@uwaterloo.ca,High,Complexity and innovation,DEE v24: independent evaluation of a protected emergent-dynamics engine,Request a short evaluation pathway or seminar,https://uwaterloo.ca/complexity-innovation/contact-us,Public institutional email.
37,International Society for Artificial Life (ISAL),Secretary,secretary@alife.org,High,Artificial life and cellular automata,"DEE Universe v24: emergent structures, reactions and digital materials",Ask for the best conference/journal route,https://alife.org/about-isal/,Public society email.
38,Andrew Adamatzky — UWE,Public institutional,andrew.adamatzky@uwe.ac.uk,Very High,Unconventional computing and cellular automata,DEE v24: request to test collision-based and geometric computation claims,Ask for an independent critical evaluation or collaboration,https://people.uwe.ac.uk/Person/AndrewAdamatzky,Public institutional email.
39,Salvador E. Venegas-Andraca — Tecnológico de Monterrey,Public institutional,svenegas@tec.mx,Very High,Unconventional and quantum computing,Motor 3D determinista con primitivas para computación no convencional,Solicitar evaluación técnica y posible colaboración de réplica,https://research.tec.mx/vivo-tec/display/PID_63473,Public institutional email.
40,Okinawa Institute of Science and Technology,Grants office,grant@oist.jp,Medium,Interdisciplinary science,High-risk independent validation project for emergent digital dynamics,Ask for the correct funding/collaboration route,https://www.oist.jp/contact-us,Public institutional email.
41,RIKEN Center for Advanced Intelligence Project,Public relations,aip-koho@riken.jp,Medium,AI and scientific discovery,DEE as a deterministic 3D benchmark for world models and discovery AI,Ask for routing to a relevant research group,https://aip.riken.jp/access/?lang=en,Public official email.
42,CWI — Centrum Wiskunde & Informatica,General office,info@cwi.nl,High,Mathematics and computer science,"DEE: computational dynamics, formalization and unconventional computation",Ask for routing to a formal methods or complex-systems group,https://www.cwi.nl/en/collaboration/,Public general email.
43,Paul Davies — Arizona State University,Public institutional,Paul.Davies@asu.edu,High,"Foundations, information and physics",Geometric-informational physics as a falsifiable computational hypothesis,Ask for conceptual critique after presenting strict computational evidence,https://search.asu.edu/profile/979573,Public institutional email.
44,New England Complex Systems Institute,General office,office@necsi.edu,High,Complex systems,DEE v24 emergent dynamics — independent evaluation request,Ask for seminar or technical review route,https://necsi.edu/engage,Public institutional email.
45,New England Complex Systems Institute,Programs,programs@necsi.edu,Medium,Courses and programs,Possible workshop/demo on deterministic 3D emergence,Ask about program fit,https://necsi.edu/privacy-policy,Public program email.
