ID,Contacto,Oficina,Correo,Prioridad,Relevancia,Asunto,Petición,Fuente,Restricción
91,XPRIZE,General office,info@xprize.org,High,Audacious technology and proof-based challenges,"DEE Universe v24: proposal for independent proof, benchmark and challenge design",Ask whether DEE fits a partner/challenge pathway,https://www.xprize.org/contact,Public general email.
92,XPRIZE,Media / press,prcontact@xprize.org,Low,Innovation communications,Press background after independent validation,Use only after public verified milestone,https://www.xprize.org/contact,Public press email.
93,XPRIZE,Advancement,advancement@xprize.org,High,Philanthropic challenge funding,Independent validation challenge for a protected computational physics engine,Ask about philanthropic/challenge co-design,https://www.xprize.org/contact,Public advancement email.
94,John Templeton Foundation,General/grant questions,info@templeton.org,High,"Big questions, science and foundations",Funding inquiry: independent validation of a geometric-informational physics program,Use the formal funding inquiry process; email only for questions,https://www.templeton.org/grants/grant-faq,Public general email.
95,John Templeton Foundation,Communications,communications@templeton.org,Low,Science and big-questions communication,Public story only after peer review or funded validation,Use for media inquiries only,https://www.templeton.org/contact,Public media email.
96,John Templeton Foundation,Portal support,support@templeton.org,Low,Grant portal support,Portal support for a formal application,Use only for technical portal issues,https://portal.templeton.org/confirm-email,Public support email.
97,Gordon and Betty Moore Foundation,General inquiries,info@moore.org,Medium,Scientific discovery and research infrastructure,Concept note: independent replication infrastructure for DEE v24,Ask whether any open program fits,https://www.moore.org/about/contact-us,Public general email.
98,Gordon and Betty Moore Foundation,Communications,communications@moore.org,Low,Scientific communications,Public story after independent validation,Use only for media or grantee communications,https://www.moore.org/about/contact-us,Public media email.
99,Patrick J. McGovern Foundation,Communications,communications@mcgovern.org,Low,AI and data for social impact,Possible future AI benchmark story after peer-reviewed results,Do not request funding; invitation-only grantmaking,https://www.mcgovern.org/contact-the-patrick-j-mcgovern-foundation/,Explicitly does not accept unsolicited funding requests.
100,Astera Institute,General office,info@astera.org,Very High,"High-risk science, intelligence and life sciences",Independent validation program for a protected emergent-dynamics engine,Request a short conversation on funding/hosting a replication team,https://astera.org/terms-of-use/,Public general email.
