ID,Contacto,Oficina,Correo,Prioridad,Relevancia,Asunto,Petición,Fuente,Restricción
51,Complex Systems,Editorial/general,info@complex-systems.com,Very High,Cellular automata and complex systems,Manuscript inquiry: emergent structures in a deterministic 3D cellular system,Ask whether the scoped manuscript fits the journal,https://www.complex-systems.com/about/,Editorial route.
52,PLOS Complex Systems,Journal office,complexsystems@plos.org,Very High,Complex systems,Submission fit: taxonomy and dynamics of emergent structures in DEE v24,Ask a concise scope question or submit formally,https://journals.plos.org/complexsystems/s/contact,Official editorial email.
53,PLOS Computational Biology,Journal office,ploscompbiol@plos.org,Low,Computational models and data,Possible methods/resource manuscript on emergent-dynamics datasets,Ask only if a strong biological/AI benchmark angle exists,https://explore.plos.org/editor-resources/contact-your-journal,Official editorial route.
54,PLOS Press,Media inquiries,cjpress@plos.org,Low,Science communication,Press background after peer-reviewed publication,Use only after acceptance/publication,https://journals.plos.org/complexsystems/s/contact,Media route.
55,Nature Computational Science,Editorial office,computationalscience@nature.com,High,Computational science methods,Manuscript: a reproducible 3D digital-dynamics platform with emergent taxonomies,Submit formally; journal does not accept presubmission enquiries,https://www.nature.com/natcomputsci/contact,Official editorial email.
56,Nature Machine Intelligence,Editorial office,machineintelligence@nature.com,Medium,AI and machine intelligence,DEE as a benchmark for world models and rule inference,Contact only after running formal AI experiments,https://www.nature.com/natmachintell/contact,Official journal route.
57,Communications Physics,Editorial office,commsphys@nature.com,Medium,Physics,Computational physics manuscript on emergent digital structures,Submit after formalization and independent replication,https://www.nature.com/commsphys/contact,Official journal route.
58,Nature Portfolio Press,Press office,press@nature.com,Low,Science media,Press background after peer-reviewed publication,Use only for a published Nature Portfolio paper,https://www.nature.com/natmachintell/contact,Media route.
59,Physical Review Letters,Editorial office,prl@aps.org,Medium,High-impact physics,"Possible physics letter after a sharp, quantitative external prediction",Do not contact until a concise physical result exists,https://journals.aps.org/contact.html,Official journal email.
60,Physical Review X,Editorial office,prx@aps.org,Low,Broad high-impact physics,Potential future submission after independent validation,Do not cold-pitch unvalidated foundational claims,https://journals.aps.org/contact.html,Official journal email.
61,PRX Quantum,Editorial office,prxquantum@aps.org,Low,Quantum information,Future submission only if quantitative quantum phenomena are demonstrated,No current claim of quantum computation,https://journals.aps.org/contact.html,Official journal email.
62,PRX Life,Editorial office,prxlife@aps.org,Medium,Living systems and emergence,Artificial-life dynamics and emergent structures,Use if the paper emphasizes life-like organization and taxonomy,https://journals.aps.org/contact.html,Official journal email.
63,Physical Review E,Editorial office,pre@aps.org,Very High,"Statistical, nonlinear and complex systems physics",Taxonomy and dynamics of emergent structures in a deterministic 3D cellular automaton,Strong candidate for a scoped paper,https://journals.aps.org/contact.html,Official journal email.
64,Physical Review Research,Editorial office,prresearch@aps.org,High,Broad physics research,Computational study of emergent digital structures and reactions,Submit after comparative baselines,https://journals.aps.org/contact.html,Official journal email.
65,Physical Review A,Editorial office,pra@aps.org,Low,AMO and quantum information,Future submission if quantum/optical analogues become quantitative,No current fit for generic DEE report,https://journals.aps.org/contact.html,Official journal email.
66,Physical Review B,Editorial office,prb@aps.org,Low,Condensed matter,Future digital-materials paper with clear condensed-matter correspondence,Needs quantitative materials observables,https://journals.aps.org/contact.html,Official journal email.
67,Physical Review D,Editorial office,prd@aps.org,Low,"Particles, fields, gravitation, cosmology",Future submission if relativistic or field-theoretic predictions are derived,Current analogies are insufficient,https://journals.aps.org/contact.html,Official journal email.
68,Physical Review Materials,Editorial office,prmaterials@aps.org,Medium,Materials science,Digital materials and porosity response in a deterministic 3D engine,Use after systematic materials benchmarks,https://journals.aps.org/contact.html,Official journal email.
69,Physical Review Applied,Editorial office,prapplied@aps.org,Medium,Applied physics,Unconventional computing/materials application paper,Use after a working device/pilot is demonstrated,https://journals.aps.org/contact.html,Official journal email.
70,Reviews of Modern Physics,Editorial office,rmp@aps.org,Low,Review articles,No immediate submission; possible future review context,Do not submit original DEE results as a review,https://journals.aps.org/contact.html,Official journal email.
71,APS Physics Magazine,Editorial office,physics@aps.org,Low,Physics news and commentary,Story proposal only after peer-reviewed publication,"Pitch a verified result, not a theory announcement",https://journals.aps.org/departments/editorial.html,Public editorial route.
72,APS Publications,Executive Editor office,executive-editor@aps.org,Low,Editorial routing,Routing question for the most appropriate APS journal,Ask only after manuscript draft exists,https://journals.aps.org/departments/editorial.html,Editorial administration route.
73,APS Publications,General support,help@aps.org,Low,Submission support,Technical submission support,Use for submission-system questions only,https://journals.aps.org/contact.html,Support route.
74,Machine Learning: Science and Technology,Publishing team,mlst@ioppublishing.org,High,AI for science and scientific ML,DEE-Bench: deterministic 3D dynamics for world models and rule inference,Use after formal AI benchmark experiments,https://publishingsupport.iopscience.iop.org/journals/machine-learning-science-and-technology/editorial-board/,Official publishing email.
75,American Institute of Physics,Media office,media@aip.org,Low,Physics communication,Press background after peer-reviewed result,Use only with publication or institutional news,https://www.aip.org/news,Public media email.
