ID,Contacto,Oficina,Correo,Prioridad,Relevancia,Asunto,Petición,Fuente,Restricción
46,Google Research Awards,Research awards,research-awards@google.com,Medium,Academic research support,DEE as a new benchmark for 3D world models and rule inference,Ask about eligibility and correct call,https://research.google/programs-and-events/research-scholar-program/faq/,Program-specific route.
47,Google Artists + Machine Intelligence,Program office,artwithmi@google.com,Low,AI/art/scientific visualization,Interactive 3D visualization of emergent digital physics,Ask only if the project has a genuine artistic research component,https://research.google/programs-and-events/artist-in-residence/,Program-specific route.
48,Samsung Global Research Outreach — Americas,GRO Americas,gro.usa@samsung.com,High,Open innovation and academic research,DEE digital materials and unconventional computation pilot,Ask about eligibility and non-confidential proposal process,https://semiconductor.samsung.com/sait/event/global-research-outreach/,Program route; do not disclose secrets.
49,Samsung Global Research Outreach — Europe,GRO Europe,gro.europe@samsung.com,Medium,Open innovation and academic research,DEE digital materials and unconventional computation pilot,Ask about eligibility and regional routing,https://semiconductor.samsung.com/sait/event/global-research-outreach/,Program route.
50,Samsung Global Research Outreach,General office,grooffice@samsung.com,High,Open innovation and academic research,Routing request for DEE v24 research collaboration,Ask for correct region and call,https://semiconductor.samsung.com/sait/event/global-research-outreach/,Program route.
76,NVIDIA,Corporate inquiries,info@nvidia.com,High,"GPU, simulation, AI and scientific computing",DEE-Bench: accelerated 3D emergent dynamics and AI world-model pilot,Request routing to research/developer relations,https://www.nvidia.com/en-us/contact/,Public corporate email.
77,NVIDIA GTC,Conference team,GTC_registration@nvidia.com,Medium,Deep-tech conference and sponsorship,Session/demo proposal: deterministic 3D emergent dynamics for AI and digital materials,Ask about appropriate program route or future call,https://www.nvidia.com/gtc/contact/,Public event email.
78,Wolfram Research,General inquiries,info@wolfram.com,Very High,Computational systems and physics project adjacency,DEE Universe v24: independent computational comparison and possible collaboration,Request routing to Wolfram Physics/Research,https://www.wolfram.com/company/contact/global-sales/,Public official email.
79,OpenAI,Partner Communications,partnercomms@openai.com,Medium,AI and scientific benchmarks,DEE-Bench: a deterministic 3D environment for world-model and rule-inference research,Request routing to scientific evaluation/partnership channel,https://openai.com/brand/,Public official email.
80,Anthropic,Press office,press@anthropic.com,Low,AI research visibility,Research background only after formal DEE-Bench results,Use after a real AI benchmark exists,https://www.anthropic.com/news,Public press email.
81,Anthropic,Non-media support,support@anthropic.com,Low,Routing only,Routing request for scientific collaboration channel,Ask for the correct route; no attachments,https://www.anthropic.com/news,Public non-media route.
82,Google DeepMind,Press office,gdm-press@google.com,Low,AI for science,Press background after formal benchmark/preprint,Use only after publishable AI result,https://deepmind.google/blog/demis-hassabis-john-jumper-awarded-nobel-prize-in-chemistry/,Public press email.
83,Microsoft Research,Research leadership office routing,cledwards@microsoft.com,Medium,AI for science and research,DEE-Bench and digital-materials pilot,Request routing to AI for Science or appropriate researcher,https://www.microsoft.com/en-us/research/people/chrisbishop/,Public professional email; verify before send.
84,NEC Laboratories Europe,Heidelberg office,hdoffice@neclab.eu,Medium,"AI, systems and networking research",DEE as a controlled emergent-dynamics and rule-inference environment,Request research routing,https://www.neclab.eu/about-us/contact,Public office email; verify exact spelling before send.
85,NEC EMEA,Communications,communications@emea.nec.com,Low,Corporate routing,Request routing for a deep-tech research pilot,Ask for appropriate innovation contact,https://uk.nec.com/en_GB/press/index.html,Public official email.
86,Samsung Global Research Outreach — Japan,GRO Japan,gro.japan@samsung.com,Medium,Open innovation,DEE digital-materials/unconventional-computing pilot,Ask about call and eligibility,https://semiconductor.samsung.com/sait/event/global-research-outreach/,Program route.
87,Samsung Global Research Outreach — Asia,GRO Asia,gro.asia@samsung.com,Medium,Open innovation,DEE digital-materials/unconventional-computing pilot,Ask about call and eligibility,https://semiconductor.samsung.com/sait/event/global-research-outreach/,Program route.
88,Bosch Research,Senior Manager Corporate Communications — Dora Constantinita,dora.constantinita@de.bosch.com,High,Industrial research and collaboration,Digital materials and topology-search pilot using DEE v24,Request routing to collaboration team,https://www.bosch.com/research/,Public professional email.
89,Sony Corporation of America,Corporate communications,sca.communications@sony.com,Medium,"Research, creative technology, AI",DEE as a 3D generative dynamics and scientific visualization platform,Request routing to Sony CSL or R&D contact,https://www.sony.com/en_us/SCA/contacts/overview.html,Public official email.
90,Sony Electronics,Press office,Selpr@sony.com,Low,Electronics and R&D routing,Routing request for unconventional computing/materials research,Ask for the appropriate R&D route,https://www.sony.com/en_us/SCA/contacts/overview.html,Public official email.
